m/z,Intensity,Index,Scan_ID,Source_File
399.375,53858.715,3190,0,Cytochrome_C.mzML
399.8125,32272.973,3197,0,Cytochrome_C.mzML
400.125,22881.744,3202,0,Cytochrome_C.mzML
400.4375,47246.17,3207,0,Cytochrome_C.mzML
401.1875,41279.285,3219,0,Cytochrome_C.mzML
401.875,23506.658,3230,0,Cytochrome_C.mzML
402.25,30620.771,3236,0,Cytochrome_C.mzML
402.4375,29330.371,3239,0,Cytochrome_C.mzML
402.875,5119.143,3246,0,Cytochrome_C.mzML
403.25,9655.4,3252,0,Cytochrome_C.mzML
403.4375,13713.0,3255,0,Cytochrome_C.mzML
403.875,17479.229,3262,0,Cytochrome_C.mzML
404.375,22933.457,3270,0,Cytochrome_C.mzML
404.6875,18669.258,3275,0,Cytochrome_C.mzML
405.3125,32714.688,3285,0,Cytochrome_C.mzML
405.625,18243.371,3290,0,Cytochrome_C.mzML
406.0,15131.314,3296,0,Cytochrome_C.mzML
406.3125,6702.971,3301,0,Cytochrome_C.mzML
406.6875,1481.9429,3307,0,Cytochrome_C.mzML
407.3125,38826.83,3317,0,Cytochrome_C.mzML
407.8125,7259.1714,3325,0,Cytochrome_C.mzML
408.3125,9114.4,3333,0,Cytochrome_C.mzML
408.625,24306.943,3338,0,Cytochrome_C.mzML
409.3125,260998.45,3349,0,Cytochrome_C.mzML
409.875,3511.2285,3358,0,Cytochrome_C.mzML
410.3125,114263.14,3365,0,Cytochrome_C.mzML
410.9375,40361.57,3375,0,Cytochrome_C.mzML
411.4375,65589.34,3383,0,Cytochrome_C.mzML
411.875,57499.027,3390,0,Cytochrome_C.mzML
412.3125,14993.229,3397,0,Cytochrome_C.mzML
412.6875,8413.429,3403,0,Cytochrome_C.mzML
413.4375,4302.486,3415,0,Cytochrome_C.mzML
413.6875,20483.229,3419,0,Cytochrome_C.mzML
414.125,10804.371,3426,0,Cytochrome_C.mzML
414.5,2384.0571,3432,0,Cytochrome_C.mzML
415.0625,63799.484,3441,0,Cytochrome_C.mzML
415.375,71989.31,3446,0,Cytochrome_C.mzML
415.875,134512.92,3454,0,Cytochrome_C.mzML
416.25,16481.97,3460,0,Cytochrome_C.mzML
416.875,5886.1143,3470,0,Cytochrome_C.mzML
417.375,30959.229,3478,0,Cytochrome_C.mzML
417.9375,24096.0,3487,0,Cytochrome_C.mzML
418.3125,10922.743,3493,0,Cytochrome_C.mzML
418.625,2920.9714,3498,0,Cytochrome_C.mzML
419.125,6422.2285,3506,0,Cytochrome_C.mzML
419.4375,27997.97,3511,0,Cytochrome_C.mzML
419.8125,81003.516,3517,0,Cytochrome_C.mzML
420.3125,2612.7715,3525,0,Cytochrome_C.mzML
420.75,13241.828,3532,0,Cytochrome_C.mzML
421.1875,55370.914,3539,0,Cytochrome_C.mzML
422.375,29686.2,3558,0,Cytochrome_C.mzML
422.75,55280.23,3564,0,Cytochrome_C.mzML
423.1875,82568.83,3571,0,Cytochrome_C.mzML
423.8125,27922.285,3581,0,Cytochrome_C.mzML
424.1875,20897.715,3587,0,Cytochrome_C.mzML
424.875,79868.4,3598,0,Cytochrome_C.mzML
425.375,58730.516,3606,0,Cytochrome_C.mzML
426.125,45407.543,3618,0,Cytochrome_C.mzML
426.6875,5156.1714,3627,0,Cytochrome_C.mzML
426.9375,9446.143,3631,0,Cytochrome_C.mzML
427.25,17432.8,3636,0,Cytochrome_C.mzML
427.5,34341.06,3640,0,Cytochrome_C.mzML
427.9375,10672.2,3647,0,Cytochrome_C.mzML
428.375,4002.2285,3654,0,Cytochrome_C.mzML
428.625,813.0571,3658,0,Cytochrome_C.mzML
428.9375,34445.973,3663,0,Cytochrome_C.mzML
429.25,82912.66,3668,0,Cytochrome_C.mzML
429.875,18195.885,3678,0,Cytochrome_C.mzML
430.3125,5623.7715,3685,0,Cytochrome_C.mzML
430.5625,9573.286,3689,0,Cytochrome_C.mzML
431.0625,10792.543,3697,0,Cytochrome_C.mzML
431.375,28929.457,3702,0,Cytochrome_C.mzML
431.6875,793.17145,3707,0,Cytochrome_C.mzML
431.9375,18191.314,3711,0,Cytochrome_C.mzML
432.1875,27856.086,3715,0,Cytochrome_C.mzML
433.25,126948.43,3732,0,Cytochrome_C.mzML
433.9375,12049.429,3743,0,Cytochrome_C.mzML
434.375,37864.027,3750,0,Cytochrome_C.mzML
435.1875,84297.6,3763,0,Cytochrome_C.mzML
435.8125,4183.029,3773,0,Cytochrome_C.mzML
436.5,69807.086,3784,0,Cytochrome_C.mzML
437.375,163944.14,3798,0,Cytochrome_C.mzML
437.875,26929.6,3806,0,Cytochrome_C.mzML
438.4375,32015.4,3815,0,Cytochrome_C.mzML
439.1875,49484.656,3827,0,Cytochrome_C.mzML
439.5,30286.086,3832,0,Cytochrome_C.mzML
440.0,23344.514,3840,0,Cytochrome_C.mzML
440.375,30434.057,3846,0,Cytochrome_C.mzML
440.875,918.0857,3854,0,Cytochrome_C.mzML
441.4375,149809.11,3863,0,Cytochrome_C.mzML
441.875,10883.657,3870,0,Cytochrome_C.mzML
442.4375,14646.371,3879,0,Cytochrome_C.mzML
443.125,66636.03,3890,0,Cytochrome_C.mzML
443.5,27722.03,3896,0,Cytochrome_C.mzML
444.0,39181.17,3904,0,Cytochrome_C.mzML
444.25,17495.943,3908,0,Cytochrome_C.mzML
444.4375,30236.03,3911,0,Cytochrome_C.mzML
444.9375,10860.257,3919,0,Cytochrome_C.mzML
445.25,68648.43,3924,0,Cytochrome_C.mzML
445.8125,548.82855,3933,0,Cytochrome_C.mzML
446.1875,5596.543,3939,0,Cytochrome_C.mzML
446.4375,8466.257,3943,0,Cytochrome_C.mzML
446.75,7155.086,3948,0,Cytochrome_C.mzML
447.0625,81414.086,3953,0,Cytochrome_C.mzML
